Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  67 Year,"51,984","49,346","47,946","45,852","43,621","41,162","41,445","39,897","37,914","37,661","25,412","19,924","24,530","21,110","21,429","24,789","24,561","23,675","19,381","16,369","17,032","20,058","18,218","17,394","16,669","15,973","16,260","16,008","15,490","14,900","13,387","12,536","12,057","12,281","11,872","11,062","11,269","10,554","10,575","10,282","9,584","9,810","9,423","9,974"
  68 Year,"49,309","47,904","44,429","43,078","40,724","41,040","39,440","37,493","37,179","25,067","19,630","24,208","20,823","21,131","24,485","24,204","23,308","19,095","16,060","16,784","19,270","17,856","16,991","16,343","15,620","15,899","15,671","15,165","14,556","13,121","12,268","11,761","11,905","11,747","10,756","10,949","10,267","10,292","10,037","9,325","9,524","9,162","9,655","9,437"
  69 Year,"47,717","44,286","41,763","40,164","40,540","38,988","37,027","36,699","24,727","19,377","23,858","20,490","20,814","24,059","23,853","22,926","18,801","15,770","16,452","18,933","17,055","16,554","15,992","15,248","15,507","15,263","14,805","14,200","12,822","11,960","11,451","11,494","11,323","10,480","10,626","9,970","10,035","9,797","9,056","9,196","8,899","9,336","9,147","8,914"
  70 Year,"44,118","41,588","38,931","39,934","38,506","36,520","36,127","24,362","19,074","23,491","20,129","20,417","23,664","23,478","22,567","18,460","15,511","16,140","18,511","16,705","15,714","15,604","14,868","15,088","14,875","14,422","13,843","12,515","11,617","11,121","11,096","10,920","10,072","10,300","9,589","9,738","9,557","8,800","8,898","8,613","9,015","8,833","8,568","8,149"
  71 Year,"41,299","38,742","38,621","37,916","35,932","35,584","23,995","18,785","23,113","19,787","20,068","23,246","23,076","22,146","18,148","15,197","15,791","18,137","16,340","15,337","14,741","14,464","14,648","14,552","14,027","13,470","12,179","11,255","10,777","10,645","10,488","9,683","9,899","9,283","9,408","9,288","8,526","8,549","8,313","8,729","8,514","8,230","7,832","7,108"
  72 Year,"38,458","38,347","36,635","35,297","34,933","23,585","18,428","22,706","19,408","19,663","22,763","22,584","21,684","17,798","14,910","15,395","17,700","15,963","14,930","14,421","13,569","14,228","14,119","13,611","13,083","11,786","10,915","10,360","10,217","10,051","9,276","9,497","8,905","9,103","8,997","8,234","8,229","8,004","8,385","8,202","7,871","7,460","6,797","6,770"
  73 Year,"38,092","36,268","34,026","34,247","23,130","18,057","22,279","19,089","19,277","22,290","22,093","21,200","17,393","14,556","15,029","17,194","15,517","14,515","13,979","13,208","13,268","13,635","13,178","12,696","11,401","10,568","9,993","9,723","9,595","8,850","9,069","8,480","8,667","8,742","7,936","7,910","7,714","8,063","7,890","7,528","7,098","6,490","6,443","5,685"
  74 Year,"35,923","33,639","33,113","22,614","17,626","21,800","18,665","18,854","21,759","21,584","20,693","16,967","14,256","14,640","16,774","15,061","14,112","13,562","12,785","12,814","12,710","12,711","12,235","11,001","10,208","9,609","9,246","9,105","8,392","8,616","8,059","8,207","8,326","7,619","7,569","7,396","7,702","7,542","7,186","6,748","6,167","6,084","5,424","5,041"
  75 Year,"33,193","32,610","21,754","17,196","21,317","18,248","18,403","21,238","21,031","20,177","16,545","13,855","14,256","16,263","14,608","13,673","13,141","12,375","12,377","12,239","10,866","11,724","10,565","9,833","9,226","8,749","8,582","7,947","8,133","7,615","7,765","7,878","7,248","7,201",na,na,na,na,na,na,na,na,na,"4,539"
  76 Year,"32,051","21,370","16,549","20,753","17,819","17,911","20,707","20,456","19,593","16,085","13,452","13,848","15,715","14,077","13,207","12,637","11,921","11,930","11,775","10,693","9,858","10,121","9,376","8,789","8,284","8,091","7,534","7,635","7,168","7,335","7,389","6,849","6,789","6,776",na,na,na,na,na,na,na,na,na,"4,040"
  77 Year,"20,959","16,222","19,950","17,302","17,443","20,150","19,863","19,056","15,605","13,037","13,379","15,218","13,580","12,700","12,172","11,452","11,429","11,309","10,322","9,685","8,345","8,948","8,384","7,780","7,581","7,107","7,152","6,703","6,871","6,944","6,387","6,375","6,373","6,668",na,na,na,na,na,na,na,na,na,"3,709"
  78 Year,"15,834","19,460","16,576","16,902","19,504","19,219","18,442","15,079","12,601","12,927","14,676","13,081","12,206","11,682","11,018","10,951","10,809","9,915","9,296","8,164","7,241","7,947","7,431","7,079","6,643","6,679","6,233","6,412","6,432","5,980","5,954","5,932","6,229","6,263",na,na,na,na,na,na,na,na,na,"3,229"
  79 Year,"18,966","16,130","16,149","18,837","18,517","17,799","14,538","12,126","12,381","14,068","12,567","11,673","11,152","10,456","10,485","10,288","9,432","8,884","7,831","7,094","6,553","7,090","6,745","6,163","6,218","5,797","5,941","5,961","5,576","5,532","5,474","5,767","5,837","5,428",na,na,na,na,na,na,na,na,na,"2,803"
  80 Year,"15,595","15,585","17,915","17,766","17,200","13,998","11,642","11,869","13,457","11,985","11,196","10,645","9,984","9,913","9,766","8,938","8,400","7,420","6,761","6,384","6,535","6,389","5,788","5,772","5,360","5,511","5,471","5,182","5,137","5,036","5,298","5,366","4,990","4,771",na,na,na,na,na,na,na,na,na,"2,362"
  81 Year,"14,994","17,265","16,836","16,424","13,378","11,113","11,366","12,849","11,424","10,648","10,140","9,478","9,395","9,172","8,518","7,953","6,967","6,350","6,050","6,154","5,849","5,463","5,433","4,882","5,058","4,985","4,711","4,695","4,648","4,863","4,950","4,559","4,387","3,908",na,na,na,na,na,na,na,na,na,"1,784"
  82 Year,"16,480","16,142","15,514","12,695","10,599","10,816","12,214","10,863","10,054","9,569","8,940","8,888","8,662","7,978","7,543","6,561","5,968","5,676","5,757","5,442","4,968","5,111","4,582","4,609","4,545","4,319","4,259","4,226","4,436","4,520","4,172","3,981","3,559","3,589",na,na,na,na,na,na,na,na,na,"1,530"
  83 Year,"15,268","14,669","11,942","9,990","10,263","11,542","10,232","9,511","9,013","8,401","8,346","8,113","7,477","7,074","6,147","5,537","5,277","5,318","5,060","4,625","4,601","4,268","4,298","4,135","3,885","3,882","3,806","4,013","4,078","3,789","3,633","3,214","3,238","3,004",na,na,na,na,na,na,na,na,na,"1,229"
  84 Year,"13,828","11,276","9,348","9,638","10,853","9,634","8,887","8,464","7,837","7,815","7,577","6,991","6,627","5,702","5,169","4,893","4,907","4,679","4,251","4,259","3,830","3,982","3,796","3,478","3,498","3,398","3,611","3,634","3,391","3,252","2,898","2,911","2,683","2,254",na,na,na,na,na,na,na,na,na,"1,000"
  85 Year,"10,535","8,731","8,952","10,131","9,032","8,254","7,862","7,300","7,181","7,045","6,498","6,144","5,322","4,794","4,504","4,506","4,299","3,902","3,899","3,524","3,550","3,505","3,208","3,124",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  86 Year,"8,049","8,252","9,291","8,362","7,637","7,257","6,728","6,647","6,493","5,999","5,654","4,891","4,418","4,171","4,098","3,906","3,548","3,550","3,178","3,248","3,078","2,928","2,838","2,649",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  87 Year,"7,566","8,485","7,661","6,986","6,704","6,152","6,036","5,933","5,505","5,161","4,434","4,013","3,795","3,753","3,546","3,198","3,163","2,897","2,950","2,772","2,564","2,540","2,365","2,468",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  88 Year,"7,727","6,930","6,323","6,073","5,593","5,504","5,389","4,998","4,687","4,037","3,601","3,436","3,392","3,171","2,881","2,836","2,570","2,650","2,499","2,284","2,196","2,123","2,191","2,155",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  89 Year,"6,139","5,550","5,441","5,034","4,969","4,824","4,466","4,208","3,628","3,244","3,048","3,019","2,829","2,592","2,540","2,288","2,343","2,207","1,988","1,950","1,829","1,951","1,898","1,696",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,"717,843","678,133","639,008","614,368","581,680","547,854","516,692","487,570","459,715","431,601","404,437","378,636","352,645","338,387","330,132","315,790","305,586","294,726","279,693","264,541","248,638","251,024","243,639","235,296","225,461","217,222","209,736","202,912","196,671","189,695","182,678","175,856","169,526","164,450","158,053","152,688","146,731","140,848","135,652","130,222","125,428","120,647","116,079","111,933"
  70 Years & Over,"458,802","430,203","403,617","384,972","360,384","335,753","312,723","289,550","277,290","270,403","258,620","249,757","240,249","226,876","213,874","200,605","191,829","185,889","178,605","168,534","158,755","161,437","153,963","146,991","141,070","135,104","129,412","124,323","120,580","117,256","114,157","110,851","107,538","104,554","99,755","95,886","91,554","87,010","83,355","79,491","75,825","71,791","67,638","63,511"
  75 Years & Over,"260,912","241,619","222,291","214,964","210,257","200,207","193,229","185,754","174,659","163,588","152,874","145,343","140,176","134,258","126,446","119,298","113,198","107,572","102,060","96,049","88,753","90,795","84,915","80,043","77,478","75,248","73,236","71,365","69,983","67,973","66,170","64,064","61,670","59,507","56,257","53,320","49,827","46,053","42,684","39,671","37,160","34,694","32,574","30,758"
  80 Years & Over,"139,909","135,827","131,313","123,974","115,657","106,880","101,276","97,799","93,448","87,294","82,255","77,668","73,267","69,080","64,956","60,297","56,466","53,159","50,459","48,174","45,890","44,965","42,414","40,399","39,527","38,826","37,795","36,708","35,805","34,567","33,202","31,262","29,195","27,171",na,na,na,na,na,na,na,na,na,"12,438"
  85 Years & Over,"63,744","60,890","59,758","57,461","53,364","49,777","46,935","44,243","41,663","38,876","36,056","33,553","31,122","29,241","27,813","26,415","24,947","23,716","22,580","21,310","20,107","19,752","18,517","17,523","17,182","16,731","15,936","14,957","14,116","13,107","12,252","11,231","10,339","9,645",na,na,na,na,na,na,na,na,na,"4,533"
  90 Years & Over,"23,728","22,942","22,090","20,875","19,429","17,786","16,454","15,157","14,169","13,390","12,821","12,050","11,366","10,760","10,244","9,681","9,024","8,510","8,066","7,532","6,890","6,705","6,017","5,431",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
