Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  15 Year,"43,564","41,460","40,280","40,775","40,669","42,479","43,100","48,025","47,181","45,629","49,127","50,184","51,439","52,026","53,203","52,341","51,194","53,145","50,280","54,014","48,666","40,893","41,986","43,394","40,565","43,085","42,041","42,137","40,600","40,229","38,328","40,990","39,627","40,762","43,920","46,929","45,145","44,351","41,489","42,478","45,343","47,666","51,422","51,697"
  16 Year,"41,942","41,108","39,954","40,367","42,557","43,014","47,988","47,124","45,547","48,993","50,002","51,307","51,939","53,232","52,613","51,615","53,141","50,294","54,019","48,521","40,623","42,035","43,255","40,549","43,106","42,111","42,177","40,589","40,238","38,308","40,981","39,619","40,801","44,386","47,017","45,171","44,315","41,524","42,440","45,318","47,628","51,383","51,652","54,767"
  17 Year,"41,570","40,749","39,564","42,412","43,128","47,986","47,144","45,567","49,005","49,904","51,158","51,830","53,053","52,582","51,869","53,557","50,306","54,043","48,480","40,488","41,701","43,201","40,631","43,027","42,109","42,183","40,573","40,222","38,252","40,963","39,570","40,755","44,351","47,530","45,178","44,255","41,555","42,385","45,276","47,566","51,312","51,594","54,697","54,050"
  18 Year,"41,397","40,553","42,068","43,232","48,341","47,258","45,663","49,067","49,987","51,112","51,752","52,994","52,511","51,878","53,966","50,746","54,059","48,514","40,478","41,606","42,817","40,581","42,965","42,082","42,180","40,559","40,228","38,227","40,992","39,599","40,747","44,315","47,528","45,683","44,188","41,589","42,333","45,225","47,508","51,247","51,518","54,622","53,972","54,278"
  19 Year,"41,106","42,879","43,047","48,448","47,527","45,783","49,078","49,988","51,182","51,699","53,027","52,546","51,796","54,032","51,124","54,597","48,598","40,551","41,664","42,788","40,267","42,977","42,066","42,234","40,640","40,344","38,409","41,205","39,817","40,902","44,458","47,652","45,850","44,944","41,645","42,298","45,193","47,453","51,184","51,474","54,570","53,909","54,268","55,744"
  20 Year,"43,160","43,446","47,963","47,492","45,880","49,185","49,982","51,111","51,683","52,952","52,605","51,894","53,958","51,293","55,084","49,102","40,797","41,959","42,965","40,229","42,478","42,311","42,337","40,960","40,706","38,832","41,724","40,308","41,429","44,932","48,214","46,403","45,520","42,933","42,342","45,196","47,424","51,145","51,453","54,547","53,882","54,309","55,787","56,187"
  21 Year,"43,626","48,170","46,755","45,740","49,141","49,961","51,002","51,652","52,925","52,494","51,844","54,074","51,256","55,333","49,813","41,423","42,461","43,581","40,828","42,785","41,857","43,054","41,571","41,303","39,532","42,444","41,002","42,336","45,802","49,094","47,462","46,624","43,919","43,998","45,340","47,494","51,149","51,467","54,582","53,924","54,416","55,900","56,315","55,814"
  22 Year,"48,455","47,038","44,834","49,102","50,013","50,987","51,534","52,752","52,445","51,746","54,011","51,321","55,265","50,380","42,556","43,352","44,330","41,820","44,153","42,966","42,956","42,779","42,239","40,532","43,588","41,962","43,308","46,823","50,178","48,500","47,883","45,116","45,136","47,395","47,651","51,272","51,502","54,584","53,977","54,511","56,001","56,482","56,032","54,510"
  23 Year,"47,601","45,387","48,338","50,210","51,433","51,758","53,056","52,673","52,013","54,216","51,785","55,756","50,591","43,546","45,288","45,971","43,263","45,616","44,757","44,372","43,264","44,082","41,882","44,924","43,259","44,549","48,004","51,325","49,730","49,051","46,463","46,470","48,714","50,151","51,681","51,922","54,824","54,187","54,879","56,364","56,881","56,542","55,079","54,104"
  24 Year,"46,224","49,262","49,830","51,993","52,612","53,625","53,498","52,666","55,061","52,510","56,644","51,461","43,999","46,638","49,012","45,537","47,634","46,655","46,248","44,865","44,857","44,087","46,607","44,517","45,946","49,473","52,726","50,973","50,286","47,676","47,846","50,192","51,370","54,510","52,545","55,391","54,518","55,217","56,796","57,352","57,106","55,747","54,867","51,563"
